"Label","Etikett"
"Cannot do shipment for the order.","Sendung konnte nicht erstellt werden."
"Semiautomatic shipment creation","Halbautomatische Sendungserstellung"
"This option displays a new button on the order overview page. The shipment settings form the automatic creation will be used.","Diese Option zeigt einen zusätzlichen Button auf der Bestellübersichtsliste an. Die Einstellungen entsprechen der automatischen Sendungserstellung."
"Automatic shipment creation","Automatische Sendungserstellung"
"Send immediate notification to customer?","Sofortige Benachrichtigung an Kunden senden?"
"Notification Settings","Sendungs-Benachrichtigungen per E-Mail"
"We will send an immediate notification to the customer, even if we still got no tracking number.","Der Kunde wird sofort über die Erstellung der Sendung informiert, selbst wenn die Trackinginformationen zur Sendungsverfolgung noch nicht vorliegen."
"Notification","Benachrichtigungen"
"Send notification with the tracking number to customer?","Nachricht mit Sendungsverfolgungsnummer an den Kunden senden?"
"We will send a notification to the customer, as soon as we got a tracking number.","Der Kunde wird benachrichtig, sobald eine Sendungsverfolgungsnummer vorliegt."
"Set up default values","Standardwerte einstellen"
"The maximum allowed package weight does not exceed %s kg","Das maximale Gewicht pro Paket darf %s kg nicht überschreiten."
"The shipment does exceed the maximum allowed package weight of %s kg!","Ein oder mehrere Sendungspakete überschreiten das Maximum von %s kg pro Paket!"
"Create DHL Intraship shipments","DHL Intraship Sendungen erstellen"
"%s DHL Intraship shipments successful created. <br/><br/> Order(s): %s","%s DHL Intraship Sendungen wurden erfolgreich angelegt. <br/><br/> Bestellung(en): %s"
"Display GoGreen option","Go Green anzeigen"
"please indicate a weight.","Bitte geben Sie ein gültiges Gewicht an."
"Invalid fieldlength in element 'StreetNumber'. Please refer to documentation.","Ungültige Hausnummer in Empfängeradresse."
"The notice-field described the reason for payment. You can use placeholder for shipping-, order-, and transactionnumber. Example: Order No. %orderID%, Shipping No. %shippingID%, Transaction No. %transactionID%, Customer Name %customerName%, Costumer No. %customerID%","Das Feld Notiz gibt den Verwendungszweck an. Sie haben die Möglichkeit Platzhalter für die Sendungs-, Bestell- und Transaktionsnummer sowie den Kundennamen und die Kunden-ID zu verwenden. Beispiel: Bestellnummer %orderID%, Sendungsnummer %shippingID%, Transaktionsnummer %transactionID%, Kundenname: %customerName%, Kunden-ID: %customerID%"
"DHL Worldpackage - Participation","DHL Weltpaket - Teilnahme"
"DHL Worldpackage Express - Participation","DHL Weltpaket Express - Teilnahme"
"DHL Worldpackage GoGreen - Participation","DHL Weltpaket GoGreen - Teilnahme"
"DHL Worldpackage GoGreen Express - Participation","DHL Weltpaket GoGreen Express - Teilnahme"
"DHL Package - Participation","DHL Paket - Teilnahme"
"DHL Package Express - Participation","DHL Paket Express - Teilnahme"
"DHL Package GoGreen - Participation","DHL Paket GoGreen - Teilnahme"
"DHL Package GoGreen Express - Participation","DHL Paket GoGreen Express - Teilnahme"
"Please set the order status for the autocreate mode in the config area.","Bitte wählen Sie die Bestellstatus für die automatischen Modi im Konfigurationsbereich."
"Please set the payment methods for the autocreate mode in the config area.","Bitte wählen Sie die Zahlungsarten für die automatischen Modi im Konfigurationsbereich."
"This Intraship-shipment was created in test mode. The generated labels are not valid for regular shipping.","Dieser Intraship-Versand wurde im Testmodus erstellt. Die generierten Etiketten sind für den regulären Versand nicht verwendbar."
"Intraship Data","Intraship Daten"
"Intraship Username","Intraship Kennung"
"Intraship Signature","Intraship Passwort"
"Reason for payment","Verwendungszweck"
"Remove cash on delivery charge of 2 Euro from order total (COD orders to Germany only)","Nachnahmegebühr von 2 Euro vom Gesamtbestellwert abziehen (nur Nachnahme-Bestellungen nach Deutschland)"
"Partial shipment is not allowed for cash on delivery shipments.","Für Nachnahme-Sendungen können keine Teillieferungen erstellt werden."
"Trigger DHL intraship PDF generation manually","DHL-Intraship-Labels manuell erzeugen"
"We could not process all requested shipments. Please start the process again.","Es konnten nicht alle wartenden Sendungen verarbeitet werden. Bitte starten Sie den Prozess erneut."
"All waiting shipments were processed.","Alle wartenden Sendungen wurden verarbeitet."
"Test Account","Zugang testen"
"Please save your configuration.","Bitte speichern Sie Ihre Konfiguration."
"These credentials will be used if <a href=""#config_state[intraship_general]"" onclick=""highlightTestmodeConfiguration()"">Testmode</a> is set ""No""","Diese Zugangsdaten werden genutzt, wenn der <a href=""#config_state[intraship_general]"" onclick=""highlightTestmodeConfiguration()"">Testmodus</a> auf ""Nein"" gestellt ist."
"DHL Intraship (successful)","DHL Intraship (erfolgreich)"
"DHL Intraship (failed)","DHL Intraship (fehlgeschlagen)"
"DHL Intraship (waiting)","DHL Intraship (wartend)"
"On hold","Wartend"
"Log requests and responses of the web service.","Webservice-Anfragen und -Antworten protokollieren"
"Please ensure that the Magento-Log is activated","Bitte stellen Sie sicher, dass das Magento-Log ebenfalls aktiviert ist."
"Street number","Hausnummer"
"Care Of","Adresszusatz"
"Label settings","Etiketten-Einstellungen"
"Paper format for labels","Papierformat der Etiketten"
"Left margin","Linker Rand"
"Top margin","Oberer Rand"
"Right margin","Rechter Rand"
"The recommended left margin is 2 in testmode and 10 in livemode. The unit of measurement are millimeters.","Die empfohlene Einstellung für den linken Rand beträgt 2 im Testmodus und 10 im Livemodus. Die Maßeinheit ist Millimeter"
"Ship with DHL Intraship?","Mit DHL Intraship versenden?"
"Please select shipping methods which should not be used for DHL Intraship shipping.","Bitte wählen Sie die Versandarten, deren Lieferungen nicht an DHL Intraship übertragen werden sollen."
"Disabled shipping methods","Deaktivierte Versandarten"
"Printed","Gedruckt"
"Not printed","Nicht gedruckt"
"Mark documents as printed","Dokumente als gedruckt markieren"
"Mark documents as not printed","Dokumente als nicht gedruckt markieren"
"Please select document(s)","Bitte Dokument(e) auswählen"
"Total of %d document(s) were successfully marked as 'printed'","%d Dokument(e) wurden erfolgreich als 'gedruckt' markiert"
"Total of %d document(s) were successfully marked as 'not printed'","%d Dokument(e) wurden erfolgreich als 'nicht gedruckt' markiert"
"DHL PostNumber","DHL PostNummer"
"DHL Customer ID Number","DHL Kundennummer"
"DHL PACKSTATION Number","Nummer der PACKSTATION"
"Either customer address or PACKSTATION information must be set.","Es muss entweder eine Kundenadresse oder eine PACKSTATION hinterlegt werden."
"Save Shipment and resume","Sendung speichern und wiederaufnehmen"
"International zip code formats","Internationale Formate der Postleitzahlen"
"Product types for weight calculation","Produkttypen zur Gewichtsberechnung"
"Intraship account number","Intraship-Kundennummer"
"This URL should not be changed by default.","Diese URL sollte standardmäßig nicht geändert werden."
"Login Production","Login Produktiv"
"Login Test","Login Test"
"WSDL","WSDL"
"Production URL","URL Live-Modus"
"Sandbox URL","URL Test-Modus"
"Gateway URLs","Schnittstellen-URLs"
"The unit of measurement are millimeters.","Die Maßeinheit ist Millimeter."
"Due to SEPA agreement you are required to update your bank account data for DHL cash on delivery shipments. BIC and IBAN are now required fields.","Aufgrund der SEPA-Vereinbarung ist es erforderlich, Ihre hinterlegten Bankdaten für Nachnahme-Sendungen zu aktualisieren. IBAN und BIC sind nun Pflichtfelder."
